Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2024-03-30;1;14709;29520;21951;-;345;-;6764;6764;-;0;-;7224;3385;0;6,00;-261;980;3231;-1182;0
2024-03-30;2;14138;29527;22065;-;803;-;7042;7042;-;0;-;6659;2825;0;0,00;-568;980;2822;-1591;0
2024-03-30;3;13943;28998;22065;-;674;-;6865;6865;-;0;-;6259;2425;0;0,00;-76;980;3109;-1304;0
2024-03-30;4;13761;28651;22070;-;510;-;6539;6539;-;0;-;6071;2190;0;0,00;206;980;3390;-1028;0
2024-03-30;5;13677;28556;22105;-;405;-;6428;6428;-;0;-;6046;2140;0;0,00;292;980;3535;-883;0
2024-03-30;6;13349;28351;22140;-;114;-;6243;6230;-;13;-;6097;2113;73;0,00;94;980;3729;-689;0
2024-03-30;7;14155;29997;22174;-;902;-;7082;7031;-;51;-;6921;1773;1331;0,00;-1033;980;2653;-1760;0
2024-03-30;8;15528;31609;21813;-;831;-;6744;6728;-;17;-;8965;1677;3612;0,00;-355;138;2814;-1472;0
2024-03-30;9;16507;33058;21803;-;546;-;5910;5910;-;0;-;10709;1264;5980;0,00;470;-638;3200;-971;0
2024-03-30;10;16487;34153;21723;-;709;-;5812;5812;-;0;-;11721;712;7626;42,00;-396;-877;3047;-1233;0
2024-03-30;11;16595;35384;21713;-;732;-;5657;5657;-;0;-;12939;920;8651;698,00;-621;-854;3289;-981;0
2024-03-30;12;16607;35718;21698;-;594;-;5497;5497;-;0;-;13426;1045;9026;1317,00;-269;-884;3452;-803;0
2024-03-30;13;16247;35624;21693;-;379;-;5288;5288;-;0;-;13552;1229;8975;1469,00;-384;-808;3741;-509;0
2024-03-30;14;16468;35458;21688;-;833;-;5378;5378;-;0;-;12937;1594;7999;1464,00;105;-808;3420;-825;0
2024-03-30;15;16541;33962;21683;-;650;-;6200;6200;-;0;-;11629;1710;6577;1361,00;539;-626;2833;-1407;0
2024-03-30;16;16280;32357;21683;-;553;-;6862;6862;-;0;-;10121;1864;4900;640,00;469;-562;2607;-1563;0
2024-03-30;17;16566;30963;21658;-;1058;-;8479;8479;-;0;-;8247;2147;2646;48,00;-663;481;1504;-2684;0
2024-03-30;18;16775;29640;21635;-;975;-;9020;8889;-;131;-;7030;2814;686;0,00;-117;900;1925;-2623;0
2024-03-30;19;17977;30418;21536;-;1589;-;11301;10355;-;946;-;7293;3642;3;0,00;-2234;866;86;-4821;0
2024-03-30;20;18097;30532;21610;-;1643;-;11542;10556;-;986;-;7279;3704;0;0,00;-2251;830;0;-4968;0
2024-03-30;21;17043;31406;21791;-;1452;-;9334;8790;-;544;-;8163;4590;0;0,00;-919;980;3024;-1990;0
2024-03-30;22;15767;31510;21906;-;1146;-;7740;7192;-;546;-;8458;4936;0;0,00;-1282;980;4269;-780;0
2024-03-30;23;14996;31563;22021;-;982;-;6725;6579;-;147;-;8560;5051;0;0,00;-1288;980;4163;-750;0
2024-03-30;24;13634;31653;21971;-;1316;-;6122;6108;-;14;-;8366;4884;0;0,00;-2047;980;2601;-1406;0
2024-03-31;1;13027;29571;21976;-;0;-;5657;5657;-;0;-;7595;4302;0;6,00;-1229;980;3562;-609;0
2024-03-31;3;12508;29499;21988;-;0;-;5456;5456;-;0;-;7511;4220;0;11,00;-958;980;4262;0;0
2024-03-31;4;11979;29393;22028;-;0;-;5456;5456;-;0;-;7365;4282;0;11,00;-986;980;4624;0;0
2024-03-31;5;11969;29446;22083;-;0;-;5474;5474;-;0;-;7363;4078;0;8,00;-950;980;4665;0;0
2024-03-31;6;11804;29616;22201;-;16;-;5508;5492;-;16;-;7399;4110;0;0,00;-1011;978;4827;0;0
2024-03-31;7;11525;28618;21291;-;20;-;5465;5445;-;20;-;7307;3899;98;0,00;10;-23;5037;0;0
2024-03-31;8;12432;29875;21291;-;77;-;5470;5393;-;77;-;8507;3686;1552;16,00;-632;-497;4255;0;0
2024-03-31;9;13598;31687;21286;-;131;-;5590;5459;-;131;-;10270;3690;3334;53,00;-1170;-1062;3763;-473;0
2024-03-31;10;14661;32282;21146;-;1037;-;7312;7279;-;33;-;10099;2713;4145;545,00;-1934;-1062;1165;-3061;0
2024-03-31;11;14152;32200;21027;-;515;-;6455;6455;-;0;-;10658;1869;5607;611,00;-844;-1062;3105;-1002;0
2024-03-31;12;13306;33050;21016;-;0;-;5439;5439;-;0;-;12034;2170;6755;591,00;-1701;-1062;4479;0;0
2024-03-31;13;13255;32981;21111;-;0;-;4926;4926;-;0;-;11870;2069;6695;595,00;-1632;-1062;3620;-116;0
2024-03-31;14;13465;33024;21106;-;0;-;4940;4940;-;0;-;11918;2188;6617;742,00;-790;-1062;4148;0;0
2024-03-31;15;13278;32841;21101;-;0;-;4940;4940;-;0;-;11740;2223;6404;878,00;-800;-1062;4006;0;0
2024-03-31;16;13294;32183;21101;-;869;-;5825;5825;-;0;-;10213;2399;4681;887,00;-937;-1062;2317;-1309;0
2024-03-31;17;13578;31063;21241;-;353;-;5776;5776;-;0;-;9469;2249;4047;582,00;9;-1062;2704;-982;0
2024-03-31;18;13937;28672;21201;-;390;-;7143;7143;-;0;-;7081;1829;2005;113,00;-317;138;2058;-2111;0
2024-03-31;19;13587;28089;21161;-;1088;-;7976;7443;-;533;-;5840;1891;615;0,00;-1205;980;1787;-2276;0
